design,board,mode,group,vivado_ok,vivado_returncode,vivado_failure_class,vivado_error,bitstream_exists,xsa_exists,vivado_lut,vivado_lut_logic,vivado_lut_available,vivado_lut_util_pct,vivado_ff,vivado_ff_available,vivado_ff_util_pct,vivado_dsp,vivado_dsp_available,vivado_dsp_util_pct,vivado_bram18,vivado_bram18_available,vivado_bram18_util_pct,vivado_uram,vivado_uram_available,vivado_uram_util_pct,vivado_wns_ns,vivado_tns_ns,vivado_whs_ns,vivado_ths_ns,vivado_total_on_chip_power_w,vivado_dynamic_power_w,vivado_static_power_w,failure_lut_logic_required,failure_lut_logic_available,failure_lut_logic_util_pct,failure_slice_lut_required,failure_slice_lut_available,failure_slice_lut_util_pct
pynq_z2_baseline_safe_fx16,pynq_z2,inference,baseline,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_baseline_safe_fx16,kv260,inference,baseline,True,,,,True,True,6565.0,6282.0,117120.0,5.61,7551.0,234240.0,3.22,7.0,1248.0,0.56,7.0,288.0,2.43,0.0,64.0,0.0,2.462,0.0,0.01,0.0,2.768,2.468,0.301,,,,,,
kr260_baseline_safe_fx16,kr260,inference,baseline,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_precision_fx16_6,kv260,inference,precision,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_precision_fx12_4,kv260,inference,precision,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_precision_fx8_3,kv260,inference,precision,True,,,,True,True,4691.0,4425.0,117120.0,4.01,5439.0,234240.0,2.32,8.0,1248.0,0.64,5.0,288.0,1.74,0.0,64.0,0.0,3.991,0.0,0.011,0.0,2.749,2.448,0.301,,,,,,
kv260_parallel_x1,kv260,inference,parallelism,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_parallel_x2,kv260,inference,parallelism,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_parallel_x4,kv260,inference,parallelism,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_parallel_x8,kv260,inference,parallelism,True,,,,True,True,5523.0,5240.0,117120.0,4.72,6525.0,234240.0,2.79,34.0,1248.0,2.72,1.0,288.0,0.35,0.0,64.0,0.0,2.901,0.0,0.011,0.0,2.775,2.474,0.301,,,,,,
kv260_pipeline_balanced_ii2,kv260,inference,pipeline,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_pipeline_aggressive_ii1,kv260,inference,pipeline,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_tiling_small,kv260,inference,tiling,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_tiling_medium,kv260,inference,tiling,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_tiling_large,kv260,inference,tiling,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_memory_bram,kv260,inference,memory,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kv260_memory_uram,kv260,inference,memory,True,,,,True,True,5870.0,5587.0,117120.0,5.01,6748.0,234240.0,2.88,23.0,1248.0,1.84,5.0,288.0,1.74,0.0,64.0,0.0,2.243,0.0,0.01,0.0,2.774,2.474,0.301,,,,,,
kv260_combined_aggressive_fx8,kv260,inference,combined,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
training_kv260_safe_fx16_6,kv260,training_on_device,training,False,1,vivado_impl_failed_board_capacity_lut_overutilized,vivado_impl_failed_board_capacity_lut_overutilized,False,False,,,,,,,,,,,,,,,,,,,,,,,,131882,117120,112.6,133729,117120,114.18
training_kv260_aggressive_fx8_3,kv260,training_on_device,training,,,,,False,False,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
