design_id,precision,hls_latency_max,vivado_lut,vivado_dsp,vivado_bram,vivado_power_w,numeric_validation_status,numeric_quality,gradient_cosine,weight_after_cosine,weight_delta_cosine,grad_mae,grad_max_abs
T0_sgd_tiled_m_axi,"fx16_6, grad fx24_10",951,29370,15,17.5,2.941,passed,passed,0.9999946355819702,0.9999938011169434,0.9573166370391846,0.00208119279704988,0.011394381523132324
T1_momentum_tiled_m_axi,"fx16_6, grad fx24_10",951,29370,15,17.5,2.941,passed,passed,0.9999946355819702,0.9999938011169434,0.9573166370391846,0.00208119279704988,0.011394381523132324
T2_adam_tiled_m_axi,"fx16_6, grad fx24_10",951,30563,15,18,2.93,passed,passed,0.9999946355819702,0.9961696267127991,0.6845365166664124,0.00208119279704988,0.011394381523132324
T3_cross_entropy_tiled_m_axi,"fx16_6, grad fx24_10",976,34727,44,17.5,3.007,passed,passed,0.9999816417694092,0.9999942779541016,0.8834608197212219,0.001026625162921846,0.004856199026107788
T4_tile32_m_axi,"fx16_6, grad fx24_10",823,28989,15,17.5,2.925,passed,passed,0.9999946355819702,0.9999938011169434,0.9573166370391846,0.00208119279704988,0.011394381523132324
T5_tile128_m_axi,"fx16_6, grad fx24_10",1207,29818,15,17.5,2.951,passed,passed,0.9999946355819702,0.9999938011169434,0.9573166370391846,0.00208119279704988,0.011394381523132324
T6_accum_batch2_m_axi,"fx16_6, grad fx24_10",951,29370,15,17.5,2.941,passed,passed,0.9999946355819702,0.9999938011169434,0.9573166370391846,0.00208119279704988,0.011394381523132324
T7_deployable_training_bitstream,"fx16_6, grad fx24_10",951,29370,15,17.5,2.941,passed,passed,0.9999946355819702,0.9999938011169434,0.9573166370391846,0.00208119279704988,0.011394381523132324
T8_real_fpga_training_curve_candidate,"fx16_6, grad fx24_10",951,29370,15,17.5,2.941,passed,passed,0.9999946355819702,0.9999938011169434,0.9573166370391846,0.00208119279704988,0.011394381523132324
